index,target,tags,relevant_tags,irrelevant_tags
49,0,stop sign | car | red | electric | city | tall building | lights | night | skyline | traffic light | street light | building | apartment | window | balcony | sky | sunset | cityscape | urban | nighttime | lit up | tall buildings | city lights | skyline view | cityscape at night | lit up city | tall buildings at night | city lights at night | skyline at night | cityscape at sunset | tall buildings at sunset | city lights at sunset | skyline at sunset | lit up city at sunset | city lights at,car | red | window,stop sign | city | tall building | night | skyline | traffic light | street light | building | balcony | sky | sunset | cityscape | urban | nighttime | tall buildings
50,0,gas station | stop sign | car | red | convertible | bmw | gas pump | pump | red stop sign | white letters | black background | red car | convertible car | bmw car | bm,car | red | convertible | bmw | red car,gas station | stop sign | gas pump | pump | red stop sign | white letters
51,0,car | honda | sedan | black | silver | private property | no trespassing | crossing | railroad | sign | gate | brick | fence | building | house | street | road | sky | clouds | trees | leaves | grass | graffiti | tag,car | honda | sedan | black | silver,sign | gate | brick | fence | building | house | street | road | sky | clouds | trees | leaves | grass | graffiti | tag
52,0,stop sign | car | building | brick,car,stop sign | building | brick
53,0,car | black | compact | parked | on street | in front of house | with red and blue sign | and pink flowers in front of house,car | black | compact | parked,on street
54,0,car | blue | compact | hatchback | parked | outside | house | brick | building | red | stop sign | traffic light | green | yellow | white | black | metal | concrete | dirt | grass | trees,car | blue | compact | hatchback | parked | red | green | yellow | white | black | metal,outside | house | brick | building | stop sign | traffic light | concrete | dirt | grass | trees
55,0,car | white | sedan | parked | garage | house | brick | window | glass | door | garage door | tree | green | leaves | fire hydrant | black | silver | metal | pole | street | driveway | sidewalk | patio | outdoor | residential | urban | natural | daytime | sunny | clear | no people | no animals | no visible text | no visible logos | no visible signs | no visible numbers | no visible reflections | no visible shadows,car | white | sedan | parked | window | glass | door | green | black | silver | metal,garage | house | brick | garage door | tree | leaves | fire hydrant | pole | street | driveway | sidewalk | patio | outdoor | residential | urban | natural | daytime | sunny | clear | no people | no animals | no visible text | no visible logos | no visible signs | no visible numbers | no visible reflections | no visible shadows
56,0,car | silver | parked | driveway | house | door | white | garage | gate | fence | bushes | trees | shrubs | flowers | potted plants,car | silver | parked | door | white,driveway | house | garage | gate | fence | bushes | trees | shrubs | flowers | potted plants
57,0,car | black | compact | driving | street | brick | stone | building | window | lamp | glass | pane,car | black | compact | driving | window | glass,street | brick | stone | building | lamp
58,0,car | gray | compact | parked | fence | wooden | house | white | two-story | garage | attached | driveway | paved | street | sidewalk | grass | green,car | gray | compact | parked | white | green,fence | wooden | house | garage | driveway | paved | street | sidewalk | grass
59,0,stop sign | car | brick road | building | street,car,stop sign | brick road | building | street
60,0,house | car | tree | grass | sky | street sign,car,house | tree | grass | sky | street sign
61,0,house | garage | car | blue car | bentley | tree | traffic light | hand | stop sign | green light | red light | yellow light | garage door | window | door,car | blue car | bentley | window | door,house | garage | tree | traffic light | stop sign | green light | red light | yellow light | garage door
62,0,car | building | sky | water tower | fire hydrant | person | tree,car,building | sky | fire hydrant | person | tree
63,0,car | black | bmw | 5 series | parked | driveway | house | mountain | background | trees | flowers | purple | pink | red | yellow | green | blue | white | red and white sign | pedestrian | walking | crosswalk | white line | red circle | black arrow | white arrow | black and white sign | white text,car | black | bmw | parked | pink | red | yellow | green | blue | white,driveway | house | mountain | background | trees | flowers | purple | pedestrian | walking | white line
64,0,car | blue | sedan | parked | stone wall | brick | stone | concrete | outdoor | natural | daytime | traffic light | red | black | white | metal,car | blue | sedan | parked | red | black | white | metal,stone wall | brick | stone | concrete | outdoor | natural | daytime | traffic light
65,0,house | garage | car | silver | sports car | convertible | lake | trees | green | grass | driveway | walkway | patio | deck | roof | shingles,car | silver | sports car | convertible | green | roof,house | garage | lake | trees | grass | driveway | patio | deck
66,0,city | skyscraper | car | blue | license plate | 2013 | tall building | tower | clock | statue | green | building | tree | boat | river | bridge | water | cityscape | urban | modern | architecture | tall | glass | steel | concrete | city life | transportation | automobile,car | blue | license plate | green | glass | automobile,city | skyscraper | tall building | tower | statue | building | tree | river | bridge | water | cityscape | urban | modern | tall | concrete | transportation
67,0,house | car | parking meter | bush | tree | street | brick house | blue car | audi | window | door | sidewalk | driveway | grass | gravel | rocks | potted plant | flowers | bushes | trees | street sign | trash can | garbage,car | blue car | window | door,house | parking meter | bush | tree | street | brick house | audi | sidewalk | driveway | grass | gravel | rocks | potted plant | flowers | bushes | trees | street sign | trash can
68,0,stop sign | red car | stop sign pole | stop sign post | stop sign on pole | stop sign on post | stop sign on building | stop sign on wall | stop sign on side of building | stop sign on side of wall | stop sign on side of street | stop sign on side of road | stop sign on side of street sign | stop sign on side of road sign | stop sign on side of street sign pole | stop sign on side of road sign post,red car,stop sign | stop sign pole | stop sign post | stop sign on pole
69,0,brick driveway | white car | black tire,white car | black tire,
70,0,house | garage | car | red | sedan | audi | a4 | front | wheel | back | side | view | driveway | grass | tree | brick | siding | roof | garage door | window | door,car | red | sedan | front | wheel | roof | window | door,house | garage | audi | driveway | grass | tree | brick | garage door
71,0,mercedes | white | car | license plate | red | tag | driving | down | alley | street | sidewalk | brick | building | window | green | sign | asian | writing | doorway | tunnel | entrance | exit | driveway | parking | spot | street sign | parked | on | side | of | road | park,mercedes | white | car | license plate | red | driving | window | green | parked,tag | alley | street | sidewalk | brick | building | sign | doorway | driveway | parking | street sign | road | park
72,0,stop sign | red car | building | adidas | store | window | stop,red car | window,stop sign | building | stop
73,0,car | black | sedan | parked | garage | house | brick | door | garage door | open | car jumping | car flying | car in air | car on roof | car on top of house | car on top of garage | car on top of door | car on top of brick door | car on top of garage door | car on top of roof | car on top of,car | black | sedan | parked | door,garage | house | brick | garage door | open
74,0,stop sign | car | gas station | red stop sign | black car | stop sign on pole | gas station sign | red and white sign,car | black car,stop sign | gas station | red stop sign | stop sign on pole
75,0,car | orange | sports car | convertible | jaguar | gas station | pump | building | white | cloudy | sky | trees | pine trees | cloudy sky | gas pump,car | orange | sports car | convertible | white,gas station | pump | building | cloudy | sky | trees | pine trees | cloudy sky | gas pump
76,0,house | car | fire hydrant | window | door | brick | tree | grass | fire hyd,car | window | door,house | fire hydrant | brick | tree | grass
77,0,car | building | fire hydrant | street light | pole | window | door | red brick building | gray car | purple car | white car | black car | red car | blue car | silver car | gold car | white building | gray building | red building | purple building | blue building,car | window | door | white car | black car | red car | blue car | silver car,building | fire hydrant | street light | pole
78,0,car | red | sports car | ferrari | garage | staircase | stairs | doorway | hallway | living room | ceiling fan | light fixture | chandelier | wall | fireplace | mantel,car | red | sports car | ferrari,garage | staircase | stairs | doorway | wall
79,0,house | car | blue | sedan | audi | garage | window | door | tree | green | sign | experience | street | driveway | sidewalk | grass | bush | leaves | sky | sunny | daytime | residential | neighborhood | urban | outdoor | environment | time period | modern | contemporary | architectural style | design | aesthetic | visual appeal | detail | texture | color | contrast | lighting | shadows | reflections | perspective | composition | artistic | creative | photography | lens | camera | focus | depth | dimension | scale | proportion | balance | harmony | visual impact | aesthetic value | artistic expression | visual storytelling | emotional response | personal interpretation | cultural context | social commentary | historical context | artistic vision | artistic intention | artistic style | artistic form | artistic content | artistic meaning | artistic significance | artistic value | artistic impact | artistic appreciation | artistic perception | artistic creation | artistic inspiration | artistic process | artistic medium | artistic technique | artistic skill | artistic talent | artistic passion,car | blue | sedan | window | door | green,house | audi | garage | tree | sign | street | driveway | sidewalk | grass | bush | leaves | sky | sunny | daytime | residential | neighborhood | urban | outdoor | environment | time period | modern | contrast | lighting | shadows | reflections | perspective | composition | artistic | creative | camera | focus | depth
80,0,car | fire hydrant | building | tree | fire hyd,car,fire hydrant | building | tree
81,0,car | house | garage | driveway | grass | sky | clouds | fence | fire hydrant | water pipe,car,house | garage | driveway | grass | sky | clouds | fence | fire hydrant
82,0,house | car | garage | driveway | grass | potted plant | dog | cat,car,house | garage | driveway | grass | potted plant | dog | cat
83,0,car | black | sedan | parked | garage | house | driveway | front | door | gate | fence | stairs | balcony | deck | exterior | residential | neighborhood,car | black | sedan | parked | front | door,garage | house | driveway | gate | fence | stairs | balcony | deck | residential | neighborhood
84,0,car | silver | sedan | parked | brick building | alley | street sign | parking | license plate | driver | passenger | side mirror | rear view mirror | headlights | taillights,car | silver | sedan | parked | license plate | passenger | headlights,brick building | alley | street sign | parking
85,0,house | car | garage | door | window | bush | grass | sidewalk | driveway | street,car | door | window,house | garage | bush | grass | sidewalk | driveway | street
86,0,house | car | palm tree | sign | grass | driveway | garage | door | window,car | door | window,house | palm tree | sign | grass | driveway | garage
87,0,house | garage | car | red car | racing car | red racing car | white garage door | red racing car in air | white garage door with black trim,car | red car,house | garage
88,0,car | mini cooper | blue license plate | red rim | black tire | brick wall | window | door | street light | traffic light | red hand | stop sign | brick | stone | alley | narrow | tight | confined | urban | city | street | road | pavement | cobblestone | concrete,car | mini cooper | black tire | window | door | narrow,brick wall | street light | traffic light | stop sign | brick | stone | alley | urban | city | street | road | pavement | cobblestone | concrete
89,0,car | red | volvo | parked | patio | outdoor | wooden | shade | umbrella | palm tree | potted plant | flowers | red chair | black chair | white pillar | red pillow | blue chair | red couch | black couch | red pill,car | red | parked,volvo | patio | outdoor | wooden | shade | umbrella | palm tree | potted plant | flowers
90,0,house | garage | car | white | convertible | mini cooper | tree | leaves | sky | blue,car | white | convertible | mini cooper | blue,house | garage | tree | leaves | sky
91,0,open | red | car | license plate | 13236 | gas station | pump | flowers | pink | white | green | yellow | dog | cat | traffic light | store | sign | numbers,red | car | license plate | pink | white | green | yellow | numbers,open | gas station | pump | flowers | dog | cat | traffic light | sign
92,0,car | red | parked | on street | in front of building | with license plate | in front of parking meter | in alley | at night | with light shining on it | and with license plate visible,car | red | parked,on street | in front of building
93,0,car | house | street sign | grass | sky | clouds | building | window | door,car | window | door,house | street sign | grass | sky | clouds | building
94,0,house | car | garage | palm tree | deck | stairs | fence | grass | sand | road | driveway | garage door | white car | silver car | sports car | convertible | luxury car | maserati | ferrari | bentley | lamborghini | porsche | bmw | mercedes | audi | volkswagen | volvo | toyota | honda | hyundai | kia | nissan | ford | chevrolet | dodge | chrysler | jeep | ram | truck | suv | motorcycle | bicycle | surfboard | skateboard | tennis racket | golf clubs | soccer ball | basketball | baseball | football | frisbee | tennis ball | volleyball | beach ball | scooter | snowboard | ski | snowshoe | cross-country skis | skis | snowshoes,car | white car | silver car | sports car | convertible | luxury car | ferrari | bentley | lamborghini | bmw | mercedes | volkswagen | toyota | honda | ford | chevrolet | dodge | jeep | ram | truck | suv,house | garage | palm tree | deck | stairs | fence | grass | sand | road | driveway | garage door | audi | volvo | bicycle
95,0,red car | yellow sign | black pole | white building | potted plant,red car,yellow sign | potted plant
96,0,car | fire hydrant | street light | building | brick road | sidewalk | night | urban | outdoor | 2010s,car,fire hydrant | street light | building | brick road | sidewalk | night | urban | outdoor
97,0,car | red | honda | sedan | street | sidewalk | yellow | wall | building | sign | asian | language | korean | chinese | 2010 | license plate | 20,car | red | honda | sedan | yellow | 2010 | license plate,street | sidewalk | wall | building | sign
98,0,car | garage | house | traffic light | stop sign | white | black | red | yellow | silver | bentley | luxury | sports car | convertible | brick house | red brick | white garage door | black door | white car | silver car | bentley car | convertible car | garage door | red brick house,car | white | black | red | yellow | silver | bentley | luxury | sports car | convertible | white car | silver car,garage | house | traffic light | stop sign | brick house | garage door
99,0,car | black | sedan | parked | house | white | two-story | stairs | red | door | window | potted plant | green | bush | tree | palm,car | black | sedan | parked | white | red | door | window | green,house | stairs | potted plant | bush | tree
100,0,car | blue | muscle | dodge | charger | striped | parked | driveway | house | brick | pine tree | green | bush | red | white | and blue | flag | lawn | grass | leaves | tree,car | blue | dodge | charger | parked | green | red | white,driveway | house | brick | pine tree | bush | grass | leaves | tree
101,0,red car | red car on sidewalk | red car on street | red car on road | red car on pavement | red car on cobblestone | red car on brick road | red car on stone road | red car on stone sidewalk | red car on stone street | red car on stone pavement | red car on stone,red car,
102,0,car | white | tesla | electric | sedan | toy | fire hydrant | red | yellow | green | brick | wall | alley | street | urban | night | dark | shadows | light | reflection,car | white | sedan | toy | red | yellow | green,fire hydrant | brick | wall | alley | street | urban | night | dark | shadows | light | reflection
103,0,beetle | volkswagen | pink | small | car | parked | driveway | house | white | garage | door | green | window,beetle | volkswagen | pink | small | car | parked | white | door | green | window,driveway | house | garage
104,0,stop sign | white car | stop sign pole | stop sign pole with sign | stop sign pole with sign and pole | stop sign pole with sign and pole and pole | stop sign pole with sign and pole and pole and pole | stop sign pole with sign and pole and pole and pole and pole | stop sign pole with sign and pole and pole and pole and pole and pole | stop sign pole with sign and pole and pole and pole and pole and pole and pole | stop sign pole with sign and pole and pole and pole and pole and pole and pole and pole | stop sign pole with sign and pole and pole and pole and pole and pole and pole and pole and pole | stop sign pole with sign and pole and pole and pole and pole and pole and pole and pole and pole and pole | stop sign pole with sign and pole and pole and pole and pole and pole and pole and pole and pole and pole and pole | stop sign pole with sign and pole and pole and pole and pole and pole and pole and pole and pole and pole and pole and pole | stop sign pole with sign and pole and pole and pole and pole and pole and pole and pole and pole and pole and pole and pole and pole | stop sign pole with sign and pole and pole and pole and,white car,stop sign | stop sign pole
105,0,car | graffiti | brick wall | yellow paint | black car | silver hubcap | black tire | black car door | black car hood | black car trunk | black car roof | black car window | black car mirror | black car headlight | black car taillight | black car license plate | black car bumper | black car grill,car | black car | black tire,graffiti | brick wall
106,0,stop sign | white car | convertible | house | grass | stop sign pole | stop sign post | stop sign sign | stop sign sign post | stop sign sign pole | stop,white car | convertible,stop sign | house | grass | stop sign pole | stop sign post | stop sign sign | stop
107,0,car | white | sedan | parked | driveway | house | garage | door | open | traffic light | red | stop | sign | green,car | white | sedan | parked | door | red | green,driveway | house | garage | open | traffic light | stop | sign
108,0,gas station | self serve | shell | gasoline | 4.39 | 4.59 | 4.79 | 4.99 | 5.29 | 5.59 | 5.89 | 6.19 | 6.49 | 6.79 | 6.99 | 7.29 | 7.59 | 7.89 | 8.19 | 8.49 | 8.79 | 8.99 | 9.29 | 9.59 | 9.89 | 10.19 | 10.49 | 10.79 | 10.99 | 11.29 | 11.59 | 11.89 | 12.19 | 12.49 | 12.79 | 12.99 | 13.29 | 13.59 | 13.89 | 14.19 | 14.49 | 14.79,,gas station
109,0,car | house | street sign | door | window | brick | glass | wood | metal | concrete | grass | trees | bushes | flowers | birds | seagulls | roses | golden retrievers | dogs | houses | streets | signs | numbers | text | logos | symbols | brands | shadows | reflections,car | door | window | glass | metal | numbers | logos | symbols | brands,house | street sign | brick | wood | concrete | grass | trees | bushes | flowers | birds | signs | text | shadows | reflections
110,0,house | garage | car | white | sports car | convertible | driveway | grass | tree | fire hydrant | yellow | blue | red | green | black | silver,car | white | sports car | convertible | yellow | blue | red | green | black | silver,house | garage | driveway | grass | tree | fire hydrant
111,0,car | white | fiat | mancunian way | road | grass | sky | clouds | blue | red | green | black,car | white | blue | red | green | black,road | grass | sky | clouds
112,0,car | mini cooper | white | black | red | license plate | 4x4 | small | compact | vintage | classic | street | alley | cobblestone | stone | brick | concrete | stairs | steps | stone stairs | stone walkway | narrow | tight | urban | city | street scene | outdoor | daytime | sunny | bright | clear | white light | shadows | reflections | textured | detailed | close-up | perspective | depth | composition | framing | focus | depth of field | aperture | shutter speed | iso | color balance | contrast | saturation | hue | tone | brightness | sharpness,car | mini cooper | white | black | red | license plate | 4x4 | small | compact | narrow,street | alley | cobblestone | stone | brick | concrete | stairs | steps | urban | city | outdoor | daytime | sunny | bright | clear | shadows | reflections | perspective | depth | composition | focus | contrast
113,0,car | black | sedan | parked | driveway | house | garage | gate | sign | time | 1:30 pm | 7:30 pm | monday | saturday | 12:00 pm - 1:00 pm | 7:00 pm - 8:00 pm | 1:00 pm - 2:00 pm | 8:00 pm - 9:00 pm | 2:00 pm - 3:00 pm | 9:00 pm - 10:00 pm | 3:00 pm - 4:00 pm | 10:00 pm - 11:00 pm | 4:00 pm - 5:00 pm | 11:00 pm - 12:00 am | 5:00 pm - 6:00 pm | 12:00 am - 1:00 am | 6:00 pm - 7:00 pm | 1:00 am - 2:00 am | 7:00 am - 8:00,car | black | sedan | parked,driveway | house | garage | gate | sign
114,0,house | car | street light | tree | bush,car,house | street light | tree | bush
115,0,stop sign | white car | garage | house | stairs | grass | clouds | sky,white car,stop sign | garage | house | stairs | grass | clouds | sky
116,0,car | silver | sports car | convertible | luxury car | lamborghini | green light | traffic light | yellow sign | bicycle | road | bridge | ocean | beach | grass | trees | sky | clouds | blue sky | sunny day | daytime | outdoor | natural | coastal | tropical | summer | 2010 | modern | contemporary | luxury | sports,car | silver | sports car | convertible | luxury car | lamborghini | 2010 | luxury | sports,green light | traffic light | yellow sign | bicycle | road | bridge | grass | trees | sky | clouds | blue sky | sunny day | daytime | outdoor | natural | summer | modern
117,0,car | blue | sedan | toyota | gas pump | fuel | pump | sign | parking meter | parking | meter | lot | indoor | building | automobile | fueling | station | gas,car | blue | sedan | toyota | automobile,gas pump | pump | sign | parking meter | parking | building
118,0,car | silver | sedan | parked | driveway | house | tree | pine | fire hydrant | concrete | sidewalk | road | mountain | blue sky | green leaves | white clouds | tall trees | pine trees | evergreen trees | mountain range | rock | boulder | large rock | small rock | tree trunk | tree branches | leaves | grass | dirt | gravel | pine tree | evergreen tree,car | silver | sedan | parked,driveway | house | tree | pine | fire hydrant | concrete | sidewalk | road | mountain | blue sky | green leaves | white clouds | pine trees | mountain range | rock | leaves | grass | dirt | gravel | pine tree
119,0,car | house | garage | tree | fire hydrant | grass | flowers | bushes | brick | stone | window | door | fence | sky | clouds,car | window | door,house | garage | tree | fire hydrant | grass | flowers | bushes | brick | stone | fence | sky | clouds
120,0,car | black | mitsubishi | parked | garage | house | door | open | traffic light | red | yellow | green | stop | go | street | driveway | sidewalk,car | black | parked | door | red | yellow | green,garage | house | open | traffic light | stop | go | street | driveway | sidewalk
