index,target,tags,irrelevant_tags
12,1,bamboo | bamboo forest | green | greenery | grow | lush | plant | stem | tree | vegetation | yellow,
13,60,automobile model | car | curb | driveway | headlight | license plate | park | sedan | silver,
14,141,blanket | car | desert | desert road | dirt field | license plate | minivan | mountain | park | sedan | silver | suv | terrain | vehicle,
15,116,beak | bird | brown | floor | food | mulch | sparrow | stand,
16,6,building | car | city | city street | crowded | drive | fill | license plate | park | pole | power line | road | scaffold | street scene | urban,
17,42,bird | bird feeder | boulder | brown | floor | food | grain | nut | peanut | perch | stone | seed | sit | stand | sunflower seed | yellow,
18,9,attach | bicycle | boardwalk | phone box | dirt bike | dirt road | dirt track | moped | motorbike | motorcycle | park | pole | red | rural,
19,194,bird | blanket | brown | floor | food | snow | snowy | stand | walk,
20,118,building | car | license plate | minivan | park | pick up | van | vehicle | white,
21,80,brown | corral | enclosure | fence | horse | lush | sea | pen | rail | stand,
22,1112,blue | catch | girl | person | road | shirt | sign | street corner | street sign | woman | yellow,
23,569,pony | field | floor | horse | grass | grassy | green | hillside | lay | lush | relax | stand | white,
24,103,beak | bird | brown | floor | food | mud | puddle | reflection | stand | swamp | water,
25,85,car | parking lot | park | pick up | ram | silver | tire | truck,
26,187,automobile model | building | car | carpet | corridor | floor | gray | license plate | park | parking garage | sedan | silver | tile wall,
27,3,building | car | driveway | estate | home | house | house exterior | park,
28,1026,attach | pole | post | road sign | sign | traffic light | street corner | street sign | traffic sign,
29,1026,car | drive | person | man | motorbike | motorcycle | motorcyclist | rear | rearview mirror | ride | road | rural | view mirror | windshield,
30,0,lighthouse | coast | path | grassy | hill | hillside | lush | observation tower | sea | tower | sky | water,
31,20,beak | bird | black | brown | floor | food | gravel | perch | stone | sit | stand | white,
32,118,car | curb | driveway | garage | garage door | house exterior | license plate | minivan | park | suv | van | vehicle | white,
33,101,bird | branch | brown | gray | log | perch | post | sit | stand | stump | tree | tree trunk | wood,
34,172,black | car | parking lot | curb | license plate | park | parking | sedan,
35,569,arena | bridle | brown | catch | corral | dirt field | dirt track | horse | jockey | lead | pet | pink | rein | saddle | stand | trainer | walk | woman,
36,176,building | car | convertible | glass building | headquarter | limo | office building | park | sports car | white,
37,80,black | cattle | cow | field | grass | grassy | graze | green | herd | lush | mill | pasture | stand | walk | windmill,
38,5,boot | carry | catch | flag | girl | head | road | rural | walk | woman,
39,169,automobile model | shed | building | canopy | car | ceiling | license plate | model | park | parking garage | red | sedan | shelter | suv | vehicle,
40,157,car | curb | drive | license plate | limo | man | sedan | vehicle | white,
41,140,car | coupe | curb | curve | license plate | road | sedan | silver | sports car,
42,103,car | convertible | coupe | driveway | gravel | hedge | license plate | park | red | sports car,
43,1,bamboo | bamboo forest | black | dress | forest | girl | grove | stand | stem | tree | walk | woman | wood,
44,3,blanket | fence | floor | garage | garage door | home | house | house exterior | porch | siding | snow | winter | yellow,
45,5,cloudy | highway | pole | road | road sign | rural | sky | stop sign | street sign | traffic sign,
46,6,building | calm | city | city skyline | city view | light | lake | night | night view | reflect | reflection | skyline | urban | water,
47,43,building | car | license plate | park | parking garage | sedan | silver | sports car,
48,66,bird | bird feeder | fly | hummingbird | nectar | yellow,
49,118,building | curb | park | pick up | truck | van | white,
50,80,brown | cattle | cow | dirt road | path | grass | grassy | herd | lush | stand | walk,
51,125,beak | bird | branch | brown | brush | dry | grass | perch | reed | sit | sparrow | stand | stem | swamp | twig | vegetation | weed | yellow,
52,3,driveway | estate | fence | garage | garage door | home | house | house exterior | paling | sale | white,
53,77,beak | bird | branch | gray | limb | perch | sit | tree | tree branch | twig | white,
54,12,blanket | cloud | cloudy | crop | dirt road | dirt track | field | path | frosty | hill | hillside | land | patch | plain | road | rural | sky | storm cloud | stormy | track,
55,1,bamboo | bamboo forest | forest | green | ray | shine | stand | sun | sunshine | tree,
56,6,building | city | city skyline | city view | floor | peak | tower | sky | skyscraper | urban,
57,2,cliff | coast | hillside | lush | sea | shoreline | water,
58,141,beak | bird | black | calm | flight | fly | food | gull | lake | sea | seabird | sky | spread | water | white | wing,
59,190,car | curb | license plate | miniskirt | park | pavement | red | road | sedan,
60,569,arena | barrel | corral | cowboy hat | dirt field | dirt track | equestrian | horse | girl | person | pen | pole | ride | rodeo | woman,
61,28,beak | bird | black | blackbird | crow | field | floor | grass | grassy | green | lush | patch | raven | stand,
62,1112,black | car | curb | drive | license plate | park | road | sedan,
63,1112,building | car | city street | crowded | drive | fill | intersection | license plate | road | stop light | traffic light | street scene | traffic | traffic jam,
0,1112,ambulance | car | city street | curb | drive | emergency vehicle | fire truck | intersection | license plate | park | road | street corner | van | white,
1,58,beach | beak | bird | coast | gray | gull | sea | sand | seabird | shore | shoreline | stand | water | white,
2,78,balustrade | beak | bird | black | boat | cage | dock | fence | food | perch | pole | rail | sit | stand | white,
3,6,building | car | city | city street | green | intersection | office building | tower | rise building | road | sky | skyscraper | stop light | traffic light | street scene | urban,
4,6,boat | building | city | city skyline | city view | Empire State Building | sea | tower | rise building | sky | skyline | skyscraper | urban | water,
5,11,attach | building | pavement | peel | pole | road | sign | street corner | street sign | yellow,
6,2,cliff | coast | mountain | sea | shoreline | water | wave,
7,57,car | parking lot | license plate | minivan | park | parking | sedan | suv | vehicle,
8,103,car | curve | dirt track | drive | license plate | race track | red | road | sports car | track,
9,6,alley | building | city | city street | crowded | person | illuminate | neon | neon light | night | night view | road | sign | store | street scene | stroll | urban | walk,
10,766,brick building | building | meter | parking meter | pole | road | street corner,
11,9,black | car | pillar | fill | fuel | gas | gas station | license plate | park | pump | vehicle,
12,5,biker | desert road | grassland | person | man | motorbike | motorcycle | motorcyclist | open | plain | ride | road | rural | savanna | sky | yellow,
13,943,animal | blanket | field | floor | herd | lamb | ram | sheep | snow | snowy | stand | walk | winter,
14,7,bicycle | biker | car | city | city street | cross | crosswalk | person | intersection | ride | road | stand | street corner | urban,
15,1026,blue | building | city street | curb | line | motorbike | motorcycle | park | road | row,
16,6,building | city | city street | office building | tower | rise building | sky | skyscraper | urban | walk,
17,6,beak | bird | black | log | nest | plant | puffin | stone | seabird | sit | stand | vegetation | white,
18,90,pick up | red | truck,
19,569,city | city street | horse | guard | horseback | person | man | officer | police | ride | road | stand,
20,182,car | curb | license plate | minivan | park | red | sedan | suv | vehicle | windshield,
21,19,automobile model | blue | car | curve | dirt track | drive | headlight | license plate | race track | sedan | suv | track,
22,82,blanket | car | doodle | license plate | minivan | park | red | sedan | suv,
23,2,anchor | bay | boat | calm | coast | cruise | ferry | fishing boat | float | sea | rock formation | sail | shoreline | travel | vessel | water | waterway,
24,80,animal | building | cattle | city | cow | grass | grassy | graze | green | lake | lush | tower | river | shoreline | town | water | waterway,
25,3,brown | building | driveway | garage | garage door | grass | home | house | house exterior | lake | sky | tree,
26,1019,barrier | construction site | container | fence | flag | pole | red | stop sign | traffic sign,
27,569,shed | barn | black | building | canopy | cart | corral | donkey | horse | hay | hut | man | mule | photo | shelter | stable | stall | stand | wagon | white,
28,85,dirt road | dirt track | drive | hill | hillside | land | lush | mud | park | plectrum | pick up | ram | red | road | rural | terrain | trail | truck | wildflower | yellow,
29,72,bird | blue | blue jay | fence | jay | ledge | perch | plank | rail | sit | stand | white | wood,
30,24,beak | bird | cormorant | flap | fly | sea | pelican | stone | seabird | spread | stretch | tail | water | wing,
31,1,air conditioner | animal | bird | cage | chair | enclosure | owl | perch | pipe | pole | radiator | rail | sit | squirrel | stand | stool | tree,
32,1112,black | building | girl | person | photo | stand | traffic light | street corner | walk | woman,
33,85,beak | bird | calm | duck | float | sea | swim | water,
34,91,bird | blue | clear | flight | fly | owl | sky | wing,
35,78,beak | bird | blue | clear | flight | fly | sky | spread | wing | woodpecker,
36,4,area | autumn | autumn forest | blanket | brush | fall | floor | forest | trail | tree | wood,
37,1019,corner | curb | intersection | pole | road | sign | stop sign | street corner | street sign | traffic sign,
38,11,alley | building | narrow | road | town,
39,96,bird | black | branch | brown | grass | green | lush | perch | plant | red | sit | stand | vegetation | weed,
40,1112,car | cloudy | drive | light | intersection | pole | red | road | signal | sky | stop light | traffic light | street light,
41,125,bird | blade | branch | brown | brush | grass | perch | plant | reed | sit | sparrow | stand | stem | twig | vegetation | weed,
42,80,brown | bull | cattle | cow | dirt field | ear | enclosure | face | fence | field | label | lush | nose | stand | stare | yellow,
43,186,automobile model | blue | building | car | parking lot | pillar | garage | license plate | park | parking | parking garage | sedan | warehouse,
44,115,advertisement | car | license plate | park | pick up | truck | van | vehicle | white,
45,3,attach | driveway | garage | garage door | home | house | house exterior | white,
46,196,beak | bird | branch | brown | limb | sea | perch | reed | sit | stand | stem | stick | twig,
47,45,car | curve | drive | mountain path | road | rural | sports car | white,
48,11,alley | bicycle | biker | black | building | cycle | person | man | photo | ride | road | white,
49,179,beak | bird | branch | canary | fern | green | greenery | limb | perch | sit | tree | tree branch | twig | vegetation | yellow,
50,943,animal | cage | trumpet | corral | enclosure | fence | goat | hay | herd | lamb | pen | ram | sheep | stable | stall | stand | stare | straw | wool,
51,3,driveway | garage | garage door | home | house | house exterior | pavement,
52,9,building | car | car window | cloudy | gas station | sky | view mirror | windshield,
53,80,animal | blanket | cattle | cow | field | floor | frost | frosty | grass | graze | herd | pasture | snow | stand | tree | winter,
54,80,barrel | black | bull | cow | milk | sculpture | sky | stand | white,
55,169,bird | catch | hand | gray | person | parrot | perch | sit | yellow,
56,108,bird | black | branch | limb | perch | sit | tree | tree branch | twig | yellow,
57,17,bird | branch | fern | green | limb | parrot | perch | sit | stand | tree | tree branch | twig,
58,164,beak | bird | branch | brown | limb | perch | sit | tree | tree branch | twig | yellow,
59,1,bamboo | bamboo forest | fern | forest | green | greenery | grow | lush | plant | stem | tree | vegetation,
60,1,bamboo | bamboo forest | forest | grove | stem | tree,
61,569,advertisement | ambulance | back | equestrian | horse | horseback | jockey | man | ride | trailer,
62,65,black | car | parking lot | curb | license plate | park | sedan,
63,943,animal | baby | boy | cage | child | cowboy hat | enclosure | fence | green | hat | lamb | pen | pet | rail | sheep | stand | stare | sun hat | toddler | wear,
0,16,car | floor | license plate | park | red | sedan | sky,
1,0,boat | calm | light | image | lake | night | night view | photo | river | water,
2,69,building | parking lot | lift | park | plectrum | pick up | red | tire | truck | warehouse,
3,186,bark | beak | bird | black | branch | log | nest | perch | sit | stump | tree | tree branch | tree trunk | yellow,
4,1019,boat | building | pole | stop sign | traffic sign,
5,60,car | parking lot | curb | license plate | park | sedan | silver | vehicle,
6,32,automobile model | car | drive | license plate | road | rural | sedan | suv | white,
7,4,blanket | creek | fall | fern | forest | greenery | jungle | lush | plant | stream | tree | tropic | vegetation,
8,2,arch | cliff | coast | crash | sea | stone | rock arch | rock formation | shoreline | water | wave,
9,18,beak | bird | branch | floor | gray | limb | log | perch | sit | stand | stick | tree branch | twig,
10,175,beak | bird | branch | limb | perch | sit | tree | tree branch | twig | yellow,
11,80,animal | buffalo | bull | calf | cattle | cow | cowboy hat | crop | farmer | field | flood | green | leash | lush | man | pet | plow | rice | rice field | stand | sun hat,
12,8,build | building | construction site | construction worker | floor | man | stone building | train track | job | worker,
13,137,car | car dealership | park | parking | sedan | vehicle,
14,32,beak | bird | branch | brown | limb | perch | sit | sky | tree | tree branch,
15,569,black | coach | cart | draw | family | family photo | horse | person | man | photo | pose | pull | ride | sleigh | snow | stand | wagon | white,
16,29,car | parking lot | license plate | park | parking | sedan | white,
17,1019,barricade | barrier | cloudy | intersection | pole | road | road sign | sign | sky | stop sign | stormy | street sign | traffic sign,
18,103,building | car | pillar | garage | garage door | park | parking garage | red | sports car,
19,83,beak | bird | fly | food | gray | gull | sea | seabird | water | white | wing,
20,12,dirt road | dirt track | path | grass | green | lush | railroad | road | rural | train track | tree | weed,
21,61,building | car | curb | gray | license plate | minivan | office building | park | road | silver | stone building | suv | van | vehicle,
22,5,animal | car | car window | desert road | highway | road | sky | stretch,
23,2,beach | cliff | coast | sea | shoreline | water,
24,9,building | gas station | road | stop sign | street corner,
25,14,automobile model | blue | building | car | car dealership | pillar | display | man | purple | sedan | mall | stand,
26,72,bird | blue | blue jay | branch | gray | jay | limb | perch | sit | stand | tree | tree branch | twig | white,
27,1019,building | bus | parking lot | curb | license plate | park | school bus | stop sign | yellow,
28,569,blanket | brown | building | church | pony | eat | field | floor | horse | grass | graze | lush | snow | spire | stand | stone building,
29,0,beach | beautiful | blue | calm | clear | coast | coral reef | island | lagoon | sea | reef | stone | shoreline | sky | surround | tropic | turquoise | water,
30,194,car | parking lot | curb | license plate | minivan | park | parking | sedan | suv | vehicle,
31,943,animal | barn | building | field | flock | goat | grass | grassy | graze | green | herd | house | lamb | lush | sheep | stable | stand | stone building | stone house | walk,
32,8,driveway | home | house | house exterior | tree | wood,
33,4,creek | brush | bush | forest | grass | green | greenery | hillside | lush | man | park bench | tree | vegetation,
34,8,alley | building | driveway | path | garage | garage door | home | house | house exterior | lead to | pavement,
35,162,beak | bird | branch | gray | limb | perch | sit | tree | tree branch | twig | yellow,
36,20,bird | black | branch | brown | limb | perch | robin | sit | tree | tree branch | twig | yellow,
37,96,bumper | car | license plate | park | red | sedan,
38,33,automobile model | blue | car | coupe | license plate | model | sedan,
39,569,attach | building | coach | cart | city street | draw | horse | green | horse cart | person | man | pull | road | stand | wagon,
40,67,beak | bird | branch | hummingbird | limb | perch | sit | stem | tree branch | twig,
41,569,black | brick building | building | horse | horseback | man | officer | photo | police | ride | sit | soldier | stone building | white,
42,38,car | parking lot | car show | fill | license plate | park | parking | sports car,
43,96,bird | bird feeder | fruit | ledge | orange | perch | pole | rail | sit | slice | stand,
44,57,beak | bird | calm | duck | float | sea | ripple | seabird | swim | water | white,
45,46,beach | car | coupe | sea | park | sedan | shoreline | silver | water | white,
46,62,beak | bird | floor | food | frozen | gull | ice | meat | sea | seafood | skeleton | stand | water | white,
47,6,boat | building | city | city skyline | city view | coast | sea | urban | water,
48,107,car | parking lot | curb | license plate | minivan | park | sedan | silver | suv | vehicle,
49,25,automobile model | car | pillar | drive | overpass | road | sedan | silver | travel | white,
50,11,alley | blue | wall | building | doodle | draw | mural | narrow | pavement | road | side | street art | urban | walk,
51,162,automobile model | car | concept car | coupe | Golden Gate Bridge | hillside | park | sedan | silver | sports car | suspension bridge,
52,1026,drive | intersection | pole | road | signal | stop light | traffic light | street corner | street sign | trailer truck | truck | white,
53,1026,building | parking sign | pole | road sign | sign | street corner | street sign | traffic sign,
54,105,black | taxi | car | display | headlight | license plate | model | model car | pick up | truck | white,
55,319,arena | bull | calf | chase | rope | corral | cow | cowboy | cowboy hat | horse | horseback | person | lasso | man | pen | ride | rodeo | white,
56,64,building | car | license plate | office building | park | parking garage | pick up | suv | truck | vehicle | warehouse | white,
57,62,beak | bird | pillar | fly | gull | peak | perch | pole | post | sky | stand | telegraph pole | white,
58,199,bird | black | branch | gray | limb | perch | sit | stand | tree branch | twig | yellow,
59,107,black | car | curb | license plate | minivan | park | pavement | sedan | suv | van | vehicle,
60,9,building | house | house exterior | hut | sit | wood,
61,1026,building | cloud | cloudy | dusk | evening sky | intersection | pole | sky | stop light | traffic light | street light | sun | sunset | twilight,
62,194,car | parking lot | curb | license plate | minivan | park | parking | sedan | suv | vehicle,
63,10,car | car window | dashboard | drive | forest | highway | rain | road | rural | tree | windshield,
0,60,automobile model | building | car | car dealership | parking lot | curb | headlight | license plate | park | parking | sedan | silver | vehicle,
1,25,beak | bird | black | blackbird | branch | limb | perch | red | sit | tree | tree branch | twig,
2,1112,building | canopy | car | city | city street | intersection | palm tree | pavement | pole | road | stop light | traffic light | street corner | street scene | tarp | tent | tree | urban,
3,569,animal | building | corral | dirt field | dirt road | dirt track | horse | herd | lead | livestock | man | pen | sheep | shepherd | walk,
4,0,amusement park | attraction | black | building | calm | city | cloudy | lake | photo | river | sky | tree | water | waterway | white,
5,569,black | brown | pony | field | horse | grass | grassy | hill | hillside | lush | mane | sky | stand | tree,
6,1026,bicycle | car | city street | couple | person | pavement | pink | ride | road | street scene | walk | woman,
7,6,bay | boat | building | city | city skyline | city view | dock | dusk | harbor | night | night view | sea | twilight | urban | water | waterway,
8,97,bird | bird feeder | black | food | nectar | perch | red | yellow,
9,147,beak | bird | boulder | gray | perch | stone | sit | stand | yellow,
10,188,beak | berry | bird | branch | fence | fruit | limb | log | perch | red | rowan | sit | stand | stump | tree | tree branch | tree trunk | woodpecker,
11,150,car | pillar | concept car | display | sports car,
12,25,beak | bird | black | blackbird | floor | red | stone | rocky | stand,
13,7,building | car | city | city street | cross | crowded | person | intersection | pedestrian | road | street corner | street scene | street sign | urban | walk,
14,184,car | curb | drive | gray | license plate | man | ride | road | sedan | silver | vehicle,
15,1026,curb | draw | hydrant | pavement | red | road | sit | street corner,
16,1112,building | green | intersection | pole | red | road | signal | stop light | traffic light | street corner | street sign | traffic sign | tree,
17,569,plane | biplane | black | donkey | horse | person | man | photo | pilot | ride | saddle | stand | white,
18,11,automobile model | black | car | curve | drive | highway | license plate | road | sedan | sports car,
19,172,apple tree | beak | bird | branch | bush | green | perch | sit | tree | tree branch | twig | yellow,
20,1026,car | cloudy | drive | green | road | road sign | sign | sky | stop light | traffic light | street sign | traffic sign | tree,
21,14,black | building | car | driveway | license plate | office building | park | sports car,
22,61,car | license plate | minivan | park | pick up | suv | vehicle | white,
23,80,animal | field | grass | grassy | graze | green | herd | lamb | lush | sea | pasture | ram | sheep | stand,
24,12,cloud | cloudy | drive | field | grass | grassland | grassy | open | pine | recreational vehicle | rural | sky | trailer | trailer truck | tree | truck | white,
25,70,beach | beak | bird | brown | floor | gull | sea | pigeon | stone | sand | seabird | shore | shoreline | stand | water | wave,
26,169,black | building | car | parking lot | curb | license plate | minivan | office building | park | parking | sedan | suv | vehicle,
27,10,dirt road | dirt track | path | forest | forest road | road | rural | trail | tree | wood,
28,83,car | curb | license plate | park | red | road | rural | sedan | suv,
29,168,parking lot | license plate | park | pick up | trailer truck | truck | van | white,
30,9,shed | building | canopy | car | cloudy | pillar | gas station | shelter | sky,
31,110,car | parking lot | curb | license plate | park | pick up | red | truck,
32,80,creek | brown | bull | cattle | cow | grass | grassy | lake | lush | river | river bank | stand | water | waterway | weed | white,
33,0,boat | building | calm | dock | river | sky | vessel | water | waterway,
34,318,animal | blanket | break | brown | bull | cattle | trumpet | cow | field | grass | grassy | green | hill | hillside | lay | lush | relax | sit | stand,
35,1,bamboo | bamboo forest | dirt road | path | forest | tree | walk,
36,1112,building | bus | bus stop | city bus | city street | curb | decker bus | drive | green | level | license plate | park | road | street corner | street scene | urban,
37,171,beak | bird | branch | gray | limb | perch | sit | tree | tree branch | twig | yellow,
38,943,animal | area | cage | sheepdog | corral | dirt field | dog | enclosure | fence | goat | lamb | leash | man | pen | pet | sheep | shepherd | stand | walk,
39,569,brown | pony | donkey | field | horse | grass | grassy | graze | green | lush | mare | mother | pasture | stand,
40,123,dirt track | jeep | park | pick up | red | road | rural | truck,
41,100,car | coupe | man | red | sedan | snow | snowy | stand | sports car,
42,49,building | car | ceiling | garage | gray | license plate | park | parking | parking garage | sedan | silver | suv | warehouse,
43,11,automobile model | blue | car | convertible | couple | drive | person | license plate | man | ride | road | sports car | travel | woman,
44,1019,attach | balustrade | cloudy | pole | power line | rail | red | sky | spire | stop sign | street sign | traffic sign,
45,96,car | curb | headlight | license plate | park | tree,
46,63,beak | bird | cement | floor | gray | gull | pavement | pigeon | stand | white,
47,124,car | hill | jeep | lift | pick up | red | sky | suv | terrain | truck | vehicle,
48,77,beak | bird | branch | brown | limb | perch | sit | tree | tree branch | white,
49,114,car | parking lot | curb | license plate | minivan | park | parking | sedan | vehicle | white,
50,72,bird | blue | blue jay | branch | jay | limb | perch | sit | tree | tree branch | twig | white,
51,47,building | car | floor | garage | garage door | license plate | minivan | park | parking | parking garage | sedan | suv | vehicle,
52,20,car | city street | cross | drive | intersection | license plate | road | sedan | street corner | sports car | zebra crossing,
53,142,beach | beak | bird | black | flap | floor | fly | food | gull | landing | sea | sand | seabird | shoreline | spread | stand | water | white | wing,
54,1112,attach | bin | building | city | city street | lamp post | parking sign | pavement | pole | post | road | sign | street corner | street sign | traffic sign | urban,
55,87,back | car | parking lot | license plate | park | van | vehicle | white,
56,150,car | crew | group photo | person | man | mechanic | photo | pose | red | stand | sports car | team photo,
57,1112,car | city street | daylight | rain | rainy | red | road | stop light | traffic light | street corner | street scene | wet,
58,10,car | car window | curve | dashboard | drive | forest | highway | lush | road | rural | tree | windshield,
59,178,bird | fruit | gray | half | ledge | orange | perch | sit | slice | stand,
60,569,animal | desert | donkey | horse | herd | hill | hillside | pyramid | stand | terrain | walk,
61,27,automobile model | building | car | coupe | drive | headlight | license plate | office building | red | road | sedan | sports car,
62,1026,building | car | convenience store | corner | gas station | intersection | pole | road | sign | stop light | traffic light | street corner | street scene | street sign,
63,28,car | coupe | driveway | license plate | park | sedan,
0,9,building | pole | sign | street corner | street sign,
1,1026,bench | path | person | longboard | man | park | park bench | pavement | picnic table | skateboard | skateboarder | walk,
2,59,advertisement | car | license plate | minivan | red | suv | toy car,
3,13,automobile model | black | car | floor | headlight | license plate | sedan,
4,43,building | car | city street | curb | license plate | limo | park | parking meter | pavement | road | sedan | silver | sports car,
5,44,car | concept car | convertible | display | miniature | mall | silver | stand | sports car,
